document,question_id,question,model,answer,evidence_ref,embedding_answer_vs_ref,key_concepts_recall,coverage_count,coverage_total,coverage_pct,final_composite_score,time_seconds,answer_len,context_len,embedding_answer_vs_ref_pct,key_concepts_recall_pct,coverage_pct_pct,final_composite_score_pct
docx,Q1,Qual o nome do campo que armazena o nome do profissional na tabela LFCES018?,pierreguillou,CEPS,Código do Módulo Assistencial (Conforme o plano Diretor de Regionalização do Estado/Município). | TELEFONE | VARCHAR(40) | | NU_TELEFONE | VARCHAR2(13) | | | NULL | Telefone | FAX | VARCHAR(60) | | NU_FAX | VARCHAR2(13) | | | NULL | Fax | E_MAIL | VARCHAR(60) | | NO_EMAIL | VARCHAR2(30) | | | NULL | e_Mail | CPF | VARCHAR(11) | | NU_CPF | VARCHAR2(,0.1817,0.0,0,2,0.0,0.109,2.910311460494995,4,1172,18.2%,0.0%,0.0%,10.9%
docx,Q1,Qual o nome do campo que armazena o nome do profissional na tabela LFCES018?,mrm8488,VARCHAR(6) | | CO_CBO,NOME DO CAMPO | TIPO | FOREIGN KEY | PRIMARY KEY | NULL | DESCRIÇÃO | DOMÍNIOS COD_CBO | VARCHAR(6) | | CO_CBO | VARCHAR2(5) | | Yes | NOT NULL | Código Brasileiro de Ocupação | DESCRICAO | VARCHAR(150) | | DS_ATIVIDADE_PROFISSIONAL | VARCHAR2(150) | | | NOT NULL | Descrição da Ocupação | INDPROFISS | CHAR(1) | | TP_CLASSIFICACAO_PROFISSIONAL | CHA,0.4594,0.0,0,2,0.0,0.2756,2.3141326904296875,21,1172,45.9%,0.0%,0.0%,27.6%
docx,Q1,Qual o nome do campo que armazena o nome do profissional na tabela LFCES018?,timpal0l, TABELA DE PROFISSIONAIS DA COMISSÃO,PROFISSIONAL NO SITE DO CNES) TABELA DE HORÁRIO DE FUNCIONAMENTO DO ESTABELECIMENTO TABELA DE CONTA BANCARIA DO GERENTE/ADMINISTRADOR(TERCEIRO)/INTERVENIENTE TABELA DE ESTABELECIMENTOS BLOQUEADOS PARA EXPORTACAO DATASUS TABELA DE PROFISSIONAIS DA COMISSÃO TABELA DE ATIVIDADES SECUNDÁRIAS DO ESTABELECIMENTO TABELA DE ALDEIAS ATENDIDAS DAS EQUIPES RE,0.7222,0.0,0,2,0.0,0.4333,3.4552392959594727,36,1172,72.2%,0.0%,0.0%,43.3%
docx,Q2,Qual tabela local equivale à tabela RL_ESTAB_EQP_UNID_APOIO no banco de produção Federal?,pierreguillou,LFCES005,OBRIGATÓRIAS TABELA DE ATIVIDADES SECUNDÁRIAS NÃO PERMITIDAS TABELA DE TIPO DE ESTABELECIMENTO X ATIVIDADE PRINCIPAL TABELA DE TIPO DE INSTALAÇÃO FÍSICA PARA ASSISTÊNCIA NOME DA TABELA (BANCO LOCAL) | NOME DA TABELA (BANCO DE PRODUÇÃO FEDERAL) | DESCRIÇÃO DA TABELA ACESSOSUSUARIO | - | ACESSOS DOS USUÁRIOS FCESGEST | - | PERFIL DO GESTOR LFCES002 |,0.2633,1.0,1,1,1.0,0.558,3.75860857963562,8,1249,26.3%,100.0%,100.0%,55.8%
docx,Q2,Qual tabela local equivale à tabela RL_ESTAB_EQP_UNID_APOIO no banco de produção Federal?,mrm8488,TABELA DE TIPO DE INSTALAÇÃO FÍSICA PARA ASSISTÊNCIA,OBRIGATÓRIAS TABELA DE ATIVIDADES SECUNDÁRIAS NÃO PERMITIDAS TABELA DE TIPO DE ESTABELECIMENTO X ATIVIDADE PRINCIPAL TABELA DE TIPO DE INSTALAÇÃO FÍSICA PARA ASSISTÊNCIA NOME DA TABELA (BANCO LOCAL) | NOME DA TABELA (BANCO DE PRODUÇÃO FEDERAL) | DESCRIÇÃO DA TABELA ACESSOSUSUARIO | - | ACESSOS DOS USUÁRIOS FCESGEST | - | PERFIL DO GESTOR LFCES002 |,0.6627,0.0,0,1,0.0,0.3976,1.4501183032989502,52,1249,66.3%,0.0%,0.0%,39.8%
docx,Q2,Qual tabela local equivale à tabela RL_ESTAB_EQP_UNID_APOIO no banco de produção Federal?,timpal0l, (BANCO LOCAL),OBRIGATÓRIAS TABELA DE ATIVIDADES SECUNDÁRIAS NÃO PERMITIDAS TABELA DE TIPO DE ESTABELECIMENTO X ATIVIDADE PRINCIPAL TABELA DE TIPO DE INSTALAÇÃO FÍSICA PARA ASSISTÊNCIA NOME DA TABELA (BANCO LOCAL) | NOME DA TABELA (BANCO DE PRODUÇÃO FEDERAL) | DESCRIÇÃO DA TABELA ACESSOSUSUARIO | - | ACESSOS DOS USUÁRIOS FCESGEST | - | PERFIL DO GESTOR LFCES002 |,0.5172,0.0,0,1,0.0,0.3103,3.1351351737976074,14,1249,51.7%,0.0%,0.0%,31.0%
docx,Q3,"Tomando como base a tabela RL_ESTAB_SAMU, qual o campo equivalente à CO_DESATIVACAO no banco local?",pierreguillou,CONTA CORRENTE DO ESTAB,DO ESTABELECIMENTO TABELA DE CNES VÁLIDOS TABELA DE BANCO / AGÊNCIA / CONTA CORRENTE DO ESTAB TABELA DE ESF DAS EQUIPES NASF TABELA DE EQUIPES VÁLIDAS TABELA DE SERVIÇOS DE TERCEIROS BRASIL TABELA DE COOPERATIVAS BRASIL TABELA DE MUNICÍPIO-SEDE / CONSÓRCIO (NASF INTERMUNICIPAL) TABELA DE POLO-BASE / DSEI / ALDEIA (MAPEAMENTO INDÍGINA) TABELA DE ALD,0.4591,0.0,0,1,0.0,0.2755,3.1981425285339355,23,1266,45.9%,0.0%,0.0%,27.6%
docx,Q3,"Tomando como base a tabela RL_ESTAB_SAMU, qual o campo equivalente à CO_DESATIVACAO no banco local?",mrm8488,ESF,DO ESTABELECIMENTO TABELA DE CNES VÁLIDOS TABELA DE BANCO / AGÊNCIA / CONTA CORRENTE DO ESTAB TABELA DE ESF DAS EQUIPES NASF TABELA DE EQUIPES VÁLIDAS TABELA DE SERVIÇOS DE TERCEIROS BRASIL TABELA DE COOPERATIVAS BRASIL TABELA DE MUNICÍPIO-SEDE / CONSÓRCIO (NASF INTERMUNICIPAL) TABELA DE POLO-BASE / DSEI / ALDEIA (MAPEAMENTO INDÍGINA) TABELA DE ALD,0.1837,0.0,0,1,0.0,0.1102,1.1617743968963623,3,1266,18.4%,0.0%,0.0%,11.0%
docx,Q3,"Tomando como base a tabela RL_ESTAB_SAMU, qual o campo equivalente à CO_DESATIVACAO no banco local?",timpal0l, TABELA DE MOTIVO DE DESATIVAÇÃO,DE TIPO LOGRADOURO TABELA DE RAÇA TABELA DE CBO X SERVIÇO CLASSIFICAÇÃO (CONSISTÊNCIA) TABELA DE TIPOS DE EQUIPE TABELA DE TIPOS DE CARGA HORÁRIA DIFERENCIADA TABELA DE CÓDIGO CRM X CBO TABELA DE MOTIVO DE DESATIVAÇÃO DO ESTAB. DE SAÚDE TABELA DE TIPOS DE DESATIVAÇÃO DA EQUIPE TABELA DE HABILITAÇÕES TABELA DE REGRAS CONTRATUAIS TABELA DE MOTIVOS DE,0.7517,0.0,0,1,0.0,0.451,3.5268075466156006,32,1266,75.2%,0.0%,0.0%,45.1%
pdf,Q4,Quais os procedimentos para o tratamento de crise de asma na sala de emergência?,pierreguillou,utilizando-se a menor dose que possa controlar os sintomas,"devem serrealizadas em todos os casos de asma. Os pacientes devem entender a diferença entretratamento de manutenção e o tratamento das exacerbações. É importante ressaltar que a introdução precoce dos medicamentos antiinflamatórios reduz a frequência de asma aguda e pode resultar em melhor preservaçãoda função pulmonar em longo prazo, além de prev",0.4961,0.0,0,12,0.0,0.2977,0.9380819797515869,58,1236,49.6%,0.0%,0.0%,29.8%
